"source","target"
"Steller's Jay","Dark-eyed Junco"
"Black-billed Magpie","Steller's Jay"
"Townsend's Warbler","Black-capped Chickadee"
"Hairy Woodpecker","Downy Woodpecker"
"Downy Woodpecker","Black-capped Chickadee"
"Blue Jay","Tufted Titmouse"
"Red-bellied Woodpecker","Blue Jay"
"White-breasted Nuthatch","Red-breasted Nuthatch"
"European Starling","Red-breasted Nuthatch"
"Red-bellied Woodpecker","Black-capped Chickadee"
"Downy Woodpecker","Black-capped Chickadee"
"Black-capped Chickadee","American Goldfinch"
"Red-bellied Woodpecker","Red-breasted Nuthatch"
"Downy Woodpecker","White-breasted Nuthatch"
"House Sparrow","House Finch"
"House Finch","American Goldfinch"
"Red-breasted Nuthatch","Black-capped Chickadee"
"House Sparrow","American Goldfinch"
"White-throated Sparrow","Northern Cardinal"
"White-throated Sparrow","Song Sparrow"
"Red-bellied Woodpecker","Northern Cardinal"
"Blue Jay","Mourning Dove"
"Red-bellied Woodpecker","Chipping Sparrow"
"European Starling","House Sparrow"
"Blue Jay","Tufted Titmouse"
"Blue Jay","Downy Woodpecker"
"Common Grackle","Blue Jay"
"Tufted Titmouse","Black-capped Chickadee"
"Blue Jay","Black-capped Chickadee"
"Common Grackle","House Sparrow"
"White-breasted Nuthatch","Tufted Titmouse"
"Hairy Woodpecker","Downy Woodpecker"
"White-breasted Nuthatch","Tufted Titmouse"
"White-breasted Nuthatch","Tufted Titmouse"
"Spotted Towhee","Song Sparrow"
"Spotted Towhee","Dark-eyed Junco"
"Golden-crowned Sparrow","Song Sparrow"
"White-throated Sparrow","Dark-eyed Junco"
"House Sparrow","House Finch"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Tufted Titmouse","Song Sparrow"
"Blue Jay","House Finch"
"Northern Cardinal","Black-capped Chickadee"
"Northern Cardinal","Red-breasted Nuthatch"
"Downy Woodpecker","Black-capped Chickadee"
"Spotted Towhee","Song Sparrow"
"Northwestern Crow","Dark-eyed Junco"
"House Finch","Black-capped Chickadee"
"White-breasted Nuthatch","Black-capped Chickadee"
"Blue Jay","Black-capped Chickadee"
"Tufted Titmouse","Black-capped Chickadee"
"Blue Jay","Tufted Titmouse"
"Blue Jay","Black-capped Chickadee"
"Tufted Titmouse","Black-capped Chickadee"
"Tufted Titmouse","Black-capped Chickadee"
"Northern Cardinal","Black-capped Chickadee"
"Tufted Titmouse","Black-capped Chickadee"
"Downy Woodpecker","Black-capped Chickadee"
"Tufted Titmouse","White-breasted Nuthatch"
"House Finch","Tufted Titmouse"
"Black-capped Chickadee","Tufted Titmouse"
"Tufted Titmouse","American Goldfinch"
"Black-capped Chickadee","American Goldfinch"
"Black-capped Chickadee","American Goldfinch"
"Black-capped Chickadee","American Goldfinch"
"Black-capped Chickadee","American Goldfinch"
"Black-capped Chickadee","American Goldfinch"
"Black-capped Chickadee","American Goldfinch"
"Black-capped Chickadee","White-breasted Nuthatch"
"American Goldfinch","Black-capped Chickadee"
"American Goldfinch","Black-capped Chickadee"
"White-breasted Nuthatch","Black-capped Chickadee"
"White-breasted Nuthatch","Black-capped Chickadee"
"White-breasted Nuthatch","Black-capped Chickadee"
"Blue Jay","House Finch"
"House Finch","Black-capped Chickadee"
"Downy Woodpecker","White-breasted Nuthatch"
"Brown-headed Cowbird","House Finch"
"Red-breasted Nuthatch","Black-capped Chickadee"
"American Robin","Cedar Waxwing"
"European Starling","American Robin"
"California Scrub-Jay","American Robin"
"California Scrub-Jay","Mourning Dove"
"American Goldfinch","Black-capped Chickadee"
"Mountain Chickadee","Pygmy Nuthatch"
"Blue Jay","White-breasted Nuthatch"
"Hairy Woodpecker","American Goldfinch"
"Blue Jay","Hairy Woodpecker"
"Rosy-faced Lovebird","House Finch"
"Blue Jay","Black-capped Chickadee"
"Red-bellied Woodpecker","Downy Woodpecker"
"Blue Jay","American Goldfinch"
"Hairy Woodpecker","Downy Woodpecker"
"Downy Woodpecker","White-breasted Nuthatch"
"California Scrub-Jay","House Finch"
"Tufted Titmouse","White-breasted Nuthatch"
"Carolina Wren","White-breasted Nuthatch"
"Tufted Titmouse","Carolina Chickadee"
"White-crowned Sparrow","House Finch"
"Dark-eyed Junco","American Goldfinch"
"Northern Flicker","Steller's Jay"
"Common Grackle","Tufted Titmouse"
"Red-bellied Woodpecker","Common Grackle"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Red-bellied Woodpecker","Downy Woodpecker"
"House Sparrow","American Goldfinch"
"House Sparrow","Downy Woodpecker"
"European Starling","Red-bellied Woodpecker"
"House Sparrow","Black-capped Chickadee"
"Golden-crowned Sparrow","Fox Sparrow"
"Red-bellied Woodpecker","European Starling"
"Downy Woodpecker","House Finch"
"White-breasted Nuthatch","Pine Siskin"
"White-breasted Nuthatch","American Goldfinch"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Blue Jay","Black-capped Chickadee"
"Blue Jay","Black-capped Chickadee"
"Blue Jay","Red-breasted Nuthatch"
"Northern Cardinal","House Sparrow"
"Dark-eyed Junco","Black-capped Chickadee"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Northern Cardinal","House Finch"
"Carolina Wren","House Finch"
"Downy Woodpecker","Carolina Wren"
"Yellow-bellied Sapsucker","Downy Woodpecker"
"Northern Cardinal","Dark-eyed Junco"
"Tufted Titmouse","American Goldfinch"
"Tufted Titmouse","White-breasted Nuthatch"
"Red-bellied Woodpecker","American Robin"
"Red-bellied Woodpecker","Blue Jay"
"Red-bellied Woodpecker","Mourning Dove"
"Blue Jay","House Sparrow"
"Blue Jay","Tufted Titmouse"
"Red-bellied Woodpecker","Downy Woodpecker"
"House Finch","Black-capped Chickadee"
"Blue Jay","American Goldfinch"
"Red-bellied Woodpecker","Tufted Titmouse"
"Blue Jay","Dark-eyed Junco"
"Dark-eyed Junco","Tufted Titmouse"
"White-breasted Nuthatch","Red-breasted Nuthatch"
"Red-breasted Nuthatch","White-breasted Nuthatch"
"Black-capped Chickadee","Red-breasted Nuthatch"
"Northern Cardinal","House Sparrow"
"Hairy Woodpecker","House Sparrow"
"Hairy Woodpecker","Downy Woodpecker"
"Red-bellied Woodpecker","Blue Jay"
"House Finch","Carolina Chickadee"
"House Sparrow","House Finch"
"European Starling","House Sparrow"
"Cedar Waxwing","American Robin"
"House Finch","American Goldfinch"
"Blue Jay","White-throated Sparrow"
"Blue Jay","House Finch"
"Tufted Titmouse","Carolina Chickadee"
"American Goldfinch","Pine Siskin"
"Blue Jay","American Goldfinch"
"Tufted Titmouse","American Goldfinch"
"Red-bellied Woodpecker","American Goldfinch"
"Red-bellied Woodpecker","White-breasted Nuthatch"
"Northern Cardinal","Carolina Chickadee"
"Red-bellied Woodpecker","Mourning Dove"
"Blue Jay","Red-bellied Woodpecker"
"Downy Woodpecker","White-breasted Nuthatch"
"Northern Cardinal","Eastern Phoebe"
"Tufted Titmouse","Carolina Chickadee"
"Red-winged Blackbird","American Goldfinch"
"House Finch","Bushtit"
"American Robin","Northern Cardinal"
"Northern Mockingbird","American Robin"
"European Starling","Eastern Bluebird"
"White-throated Sparrow","Dark-eyed Junco"
"House Finch","American Goldfinch"
"Blue Jay","House Finch"
"White-throated Sparrow","Dark-eyed Junco"
"Brown-headed Cowbird","House Finch"
"Tufted Titmouse","American Goldfinch"
"Tufted Titmouse","House Finch"
"Red-bellied Woodpecker","Red-breasted Nuthatch"
"White-breasted Nuthatch","Tufted Titmouse"
"White-breasted Nuthatch","Mourning Dove"
"White-breasted Nuthatch","Black-capped Chickadee"
"Hairy Woodpecker","Downy Woodpecker"
"Red-bellied Woodpecker","Blue Jay"
"Red-bellied Woodpecker","Carolina Chickadee"
"Red-bellied Woodpecker","Tufted Titmouse"
"American Crow","Blue Jay"
"White-breasted Nuthatch","American Goldfinch"
"Nuttall's Woodpecker","Downy Woodpecker"
"Red-bellied Woodpecker","Downy Woodpecker"
"Downy Woodpecker","White-breasted Nuthatch"
"Downy Woodpecker","Tufted Titmouse"
"Blue Jay","House Finch"
"Blue Jay","Hairy Woodpecker"
"Dark-eyed Junco","Tufted Titmouse"
"Steller's Jay","Dark-eyed Junco"
"Red-bellied Woodpecker","Blue Jay"
"Tufted Titmouse","Carolina Chickadee"
"Tufted Titmouse","Carolina Chickadee"
"Red-bellied Woodpecker","Blue Jay"
"Song Sparrow","Townsend's Solitaire"
"Tufted Titmouse","Carolina Chickadee"
"Red-bellied Woodpecker","Northern Cardinal"
"Song Sparrow","Dark-eyed Junco"
"American Tree Sparrow","American Goldfinch"
"Red-bellied Woodpecker","House Finch"
"Northern Cardinal","House Sparrow"
"Blue Jay","Northern Cardinal"
"Steller's Jay","Chestnut-backed Chickadee"
"California Thrasher","White-crowned Sparrow"
"California Thrasher","House Finch"
"California Thrasher","California Towhee"
"California Scrub-Jay","White-crowned Sparrow"
"White-crowned Sparrow","House Finch"
"Northern Cardinal","House Finch"
"Black-billed Magpie","Black-capped Chickadee"
"Black-billed Magpie","Downy Woodpecker"
"Oak Titmouse","American Goldfinch"
"American Goldfinch","Lesser Goldfinch"
"Hairy Woodpecker","House Finch"
"White-crowned Sparrow","Bewick's Wren"
"California Scrub-Jay","Black-capped Chickadee"
"Steller's Jay","Downy Woodpecker"
"Spotted Towhee","Golden-crowned Sparrow"
"Mourning Dove","House Finch"
"California Towhee","Dark-eyed Junco"
"White-breasted Nuthatch","House Finch"
"House Sparrow","American Goldfinch"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Black-capped Chickadee"
"Dark-eyed Junco","Bushtit"
"Northern Flicker","Red-bellied Woodpecker"
"Blue Jay","Downy Woodpecker"
"Blue Jay","House Sparrow"
"Blue Jay","House Sparrow"
"Downy Woodpecker","House Sparrow"
"Red-winged Blackbird","Painted Bunting"
"Blue Jay","Downy Woodpecker"
"House Finch","Black-capped Chickadee"
"House Finch","White-breasted Nuthatch"
"Red-bellied Woodpecker","House Finch"
"Red-bellied Woodpecker","White-breasted Nuthatch"
"Dark-eyed Junco","Black-capped Chickadee"
"Black-capped Chickadee","Dark-eyed Junco"
"White-breasted Nuthatch","Tufted Titmouse"
"Tufted Titmouse","Carolina Chickadee"
"Tufted Titmouse","Carolina Chickadee"
"Tufted Titmouse","White-breasted Nuthatch"
"Tufted Titmouse","Downy Woodpecker"
"Tufted Titmouse","Carolina Chickadee"
"White-breasted Nuthatch","Tufted Titmouse"
"Tufted Titmouse","Dark-eyed Junco"
"White-breasted Nuthatch","Carolina Chickadee"
"Eastern Bluebird","Downy Woodpecker"
"Red-breasted Nuthatch","Chestnut-backed Chickadee"
"Red-breasted Nuthatch","House Finch"
"Spotted Towhee","House Finch"
"Dark-eyed Junco","Spotted Towhee"
"California Scrub-Jay","Pinyon Jay"
"Black-billed Magpie","Downy Woodpecker"
"Carolina Wren","Tufted Titmouse"
"Spotted Towhee","Golden-crowned Sparrow"
"Pine Siskin","American Goldfinch"
"American Goldfinch","Black-capped Chickadee"
"White-breasted Nuthatch","American Goldfinch"
"Northern Mockingbird","House Finch"
"Red-bellied Woodpecker","Black-capped Chickadee"
"Red-bellied Woodpecker","Red-breasted Nuthatch"
"Black-capped Chickadee","American Goldfinch"
"Blue Jay","Black-capped Chickadee"
"Blue Jay","House Finch"
"Northern Mockingbird","Eastern Bluebird"
"Blue Jay","House Finch"
"Blue Jay","American Goldfinch"
"Blue Jay","Black-capped Chickadee"
"Downy Woodpecker","House Finch"
"Mourning Dove","Blue Jay"
"House Sparrow","White-breasted Nuthatch"
"White-breasted Nuthatch","Black-capped Chickadee"
"American Goldfinch","House Sparrow"
"Blue Jay","Black-capped Chickadee"
"Blue Jay","American Goldfinch"
"Hairy Woodpecker","Downy Woodpecker"
"Hairy Woodpecker","White-breasted Nuthatch"
"Downy Woodpecker","Tufted Titmouse"
"White-throated Sparrow","Song Sparrow"
"Red-bellied Woodpecker","Downy Woodpecker"
"House Sparrow","American Tree Sparrow"
"Tufted Titmouse","Black-capped Chickadee"
"Blue Jay","Tufted Titmouse"
"Tufted Titmouse","House Finch"
"House Sparrow","Carolina Chickadee"
"Blue Jay","Tufted Titmouse"
"House Finch","American Goldfinch"
"Red-bellied Woodpecker","White-breasted Nuthatch"
"Mourning Dove","Blue Jay"
"Tufted Titmouse","Black-capped Chickadee"
"Tufted Titmouse","Black-capped Chickadee"
"Red-bellied Woodpecker","Northern Cardinal"
"Song Sparrow","Dark-eyed Junco"
"Red-bellied Woodpecker","Downy Woodpecker"
"House Sparrow","Black-capped Chickadee"
"Black-capped Chickadee","Anna's Hummingbird"
"Black-capped Chickadee","Anna's Hummingbird"
"Black-capped Chickadee","Anna's Hummingbird"
"House Sparrow","Dark-eyed Junco"
"House Sparrow","Dark-eyed Junco"
"Dark-eyed Junco","Black-capped Chickadee"
"Red-breasted Nuthatch","Black-capped Chickadee"
"House Sparrow","Black-capped Chickadee"
"Song Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Song Sparrow"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Red-bellied Woodpecker","Blue Jay"
"White-breasted Nuthatch","Red-breasted Nuthatch"
"Red-breasted Nuthatch","Black-capped Chickadee"
"White-crowned Sparrow","Golden-crowned Sparrow"
"White-crowned Sparrow","Golden-crowned Sparrow"
"Pileated Woodpecker","Northern Flicker"
"European Starling","Downy Woodpecker"
"Blue Jay","House Finch"
"Red-bellied Woodpecker","Downy Woodpecker"
"European Starling","Pileated Woodpecker"
"Red-bellied Woodpecker","House Sparrow"
"Black-capped Chickadee","American Goldfinch"
"Tufted Titmouse","Black-capped Chickadee"
"House Finch","Red-breasted Nuthatch"
"Townsend's Warbler","Black-capped Chickadee"
"Blue Jay","Black-capped Chickadee"
"Red-bellied Woodpecker","House Finch"
"Northern Cardinal","House Finch"
"Northern Cardinal","American Goldfinch"
"Northern Cardinal","House Finch"
"Northern Cardinal","House Finch"
"House Finch","House Sparrow"
"Blue Jay","American Goldfinch"
"American Goldfinch","House Finch"
"European Starling","House Sparrow"
"Tufted Titmouse","Red-bellied Woodpecker"
"Tufted Titmouse","House Finch"
"Mourning Dove","Common Grackle"
"Spotted Towhee","Dark-eyed Junco"
"Red-bellied Woodpecker","Blue Jay"
"House Sparrow","Dark-eyed Junco"
"Tufted Titmouse","Carolina Chickadee"
"Northern Flicker","Dark-eyed Junco"
"Black-billed Magpie","Blue Jay"
"Red-breasted Nuthatch","Black-capped Chickadee"
"American Goldfinch","Tufted Titmouse"
"Downy Woodpecker","Northern Cardinal"
"California Scrub-Jay","Steller's Jay"
"California Scrub-Jay","Song Sparrow"
"Dark-eyed Junco","Black-capped Chickadee"
"Fox Sparrow","Golden-crowned Sparrow"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Spotted Towhee","Dark-eyed Junco"
"House Sparrow","Dark-eyed Junco"
"Lesser Goldfinch","Dark-eyed Junco"
"Song Sparrow","Spotted Towhee"
"Black-billed Magpie","Steller's Jay"
"Woodhouse's Scrub-Jay","Steller's Jay"
"Wild Turkey","Black-billed Magpie"
"Northern Mockingbird","Red-bellied Woodpecker"
"Mourning Dove","House Finch"
"Blue Jay","House Sparrow"
"White-breasted Nuthatch","Black-capped Chickadee"
"Red-bellied Woodpecker","House Sparrow"
"Blue Jay","Tufted Titmouse"
"California Scrub-Jay","European Starling"
"House Finch","Tufted Titmouse"
"Northern Cardinal","House Finch"
"Tufted Titmouse","American Goldfinch"
"Mourning Dove","Dark-eyed Junco"
"Steller's Jay","Mourning Dove"
"Red-breasted Nuthatch","House Finch"
"Tufted Titmouse","American Goldfinch"
"Downy Woodpecker","American Goldfinch"
"Red-breasted Nuthatch","House Finch"
"Northern Cardinal","Red-breasted Nuthatch"
"Northern Cardinal","Red-breasted Nuthatch"
"Blue Jay","House Finch"
"Northern Cardinal","House Finch"
"Northern Flicker","Steller's Jay"
"Spotted Towhee","Fox Sparrow"
"Fox Sparrow","Spotted Towhee"
"Fox Sparrow","Dark-eyed Junco"
"Tufted Titmouse","Carolina Chickadee"
"Tufted Titmouse","White-breasted Nuthatch"
"Tufted Titmouse","White-breasted Nuthatch"
"California Towhee","House Finch"
"American Robin","Townsend's Solitaire"
"Hairy Woodpecker","Downy Woodpecker"
"Brown Thrasher","White-throated Sparrow"
"American Robin","White-throated Sparrow"
"Northern Cardinal","House Sparrow"
"White-breasted Nuthatch","Red-breasted Nuthatch"
"Mourning Dove","House Sparrow"
"Red-bellied Woodpecker","Hairy Woodpecker"
"Hairy Woodpecker","White-breasted Nuthatch"
"House Sparrow","House Finch"
"Blue Jay","House Sparrow"
"Blue Jay","House Sparrow"
"Blue Jay","House Sparrow"
"European Starling","Northern Mockingbird"
"Blue Jay","House Sparrow"
"European Starling","Black-capped Chickadee"
"White-breasted Nuthatch","Black-capped Chickadee"
"Blue Jay","House Sparrow"
"Hairy Woodpecker","Blue Jay"
"Hairy Woodpecker","American Goldfinch"
"Tufted Titmouse","House Finch"
"Red-bellied Woodpecker","House Sparrow"
"Red-bellied Woodpecker","House Sparrow"
"Red-bellied Woodpecker","Northern Cardinal"
"House Sparrow","Eastern Bluebird"
"European Starling","Eastern Bluebird"
"Red-bellied Woodpecker","Downy Woodpecker"
"Red-bellied Woodpecker","House Sparrow"
"Blue Jay","House Sparrow"
"Northern Cardinal","Carolina Chickadee"
"Hairy Woodpecker","Downy Woodpecker"
"Red-bellied Woodpecker","House Sparrow"
"Northern Cardinal","House Sparrow"
"Red-bellied Woodpecker","Purple Finch"
"Red-bellied Woodpecker","American Goldfinch"
"Chipping Sparrow","Northern Cardinal"
"Red-bellied Woodpecker","Tufted Titmouse"
"House Sparrow","American Goldfinch"
"Red-bellied Woodpecker","Northern Cardinal"
"American Goldfinch","Black-capped Chickadee"
"Red-bellied Woodpecker","Mourning Dove"
"American Tree Sparrow","Dark-eyed Junco"
"Tufted Titmouse","White-breasted Nuthatch"
"House Sparrow","Red-breasted Nuthatch"
"Red-bellied Woodpecker","House Sparrow"
"Carolina Wren","American Goldfinch"
"Blue Jay","Common Grackle"
"Red-bellied Woodpecker","Northern Mockingbird"
"House Finch","Red-breasted Nuthatch"
"Northern Cardinal","House Sparrow"
"White-breasted Nuthatch","House Sparrow"
"American Goldfinch","Pine Siskin"
"Brown Thrasher","House Sparrow"
"Northern Cardinal","House Sparrow"
"Northern Cardinal","House Finch"
"Downy Woodpecker","Carolina Wren"
"Northern Cardinal","Purple Finch"
"Blue Jay","White-throated Sparrow"
"American Goldfinch","Carolina Chickadee"
"House Finch","Tufted Titmouse"
"Northern Cardinal","American Goldfinch"
"Hairy Woodpecker","Downy Woodpecker"
"Blue Jay","Carolina Chickadee"
"Blue Jay","American Goldfinch"
"Blue Jay","House Finch"
"Purple Finch","White-throated Sparrow"
"House Finch","Purple Finch"
"White-breasted Nuthatch","Tufted Titmouse"
"Tufted Titmouse","American Goldfinch"
"American Goldfinch","Dark-eyed Junco"
"Tufted Titmouse","Black-capped Chickadee"
"White-breasted Nuthatch","Tufted Titmouse"
"Red-winged Blackbird","American Goldfinch"
"House Sparrow","American Goldfinch"
"Northern Cardinal","House Sparrow"
"Downy Woodpecker","House Finch"
"Northern Cardinal","Black-capped Chickadee"
"Northern Cardinal","Carolina Chickadee"
"Red-bellied Woodpecker","Downy Woodpecker"
"Hairy Woodpecker","Chipping Sparrow"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"Dark-eyed Junco","Bushtit"
"House Finch","American Goldfinch"
"Red-bellied Woodpecker","Blue Jay"
"Blue Jay","Hairy Woodpecker"
"Downy Woodpecker","White-breasted Nuthatch"
"Downy Woodpecker","Black-capped Chickadee"
"Hairy Woodpecker","Downy Woodpecker"
"European Starling","Blue Jay"
"Blue Jay","House Finch"
"House Finch","Tufted Titmouse"
"American Goldfinch","Dark-eyed Junco"
"Tufted Titmouse","American Goldfinch"
"Northern Cardinal","House Sparrow"
"Northern Cardinal","House Sparrow"
"Northern Flicker","European Starling"
"Red-bellied Woodpecker","Northern Cardinal"
"Dark-eyed Junco","American Goldfinch"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Wild Turkey","American Crow"
"Wild Turkey","Canada Goose"
"Hairy Woodpecker","House Finch"
"Blue Jay","Northern Cardinal"
"Mourning Dove","American Goldfinch"
"Hairy Woodpecker","Downy Woodpecker"
"Downy Woodpecker","House Sparrow"
"Oak Titmouse","White-breasted Nuthatch"
"Eurasian Collared-Dove","White-winged Dove"
"Red-winged Blackbird","Painted Bunting"
"White-winged Dove","Painted Bunting"
"House Finch","American Goldfinch"
"House Sparrow","Downy Woodpecker"
"Tufted Titmouse","Carolina Chickadee"
"Tufted Titmouse","Carolina Chickadee"
"Eastern Towhee","White-throated Sparrow"
"Spotted Towhee","House Sparrow"
"House Finch","House Sparrow"
"Red-bellied Woodpecker","Downy Woodpecker"
"Downy Woodpecker","White-breasted Nuthatch"
"Northern Cardinal","House Finch"
"Downy Woodpecker","Tufted Titmouse"
"Blue Jay","House Sparrow"
"Blue Jay","Downy Woodpecker"
"White-breasted Nuthatch","Tufted Titmouse"
"Red-bellied Woodpecker","Downy Woodpecker"
"Hairy Woodpecker","Downy Woodpecker"
"Red-winged Blackbird","Northern Cardinal"
"Carolina Wren","House Finch"
"White-breasted Nuthatch","House Finch"
"House Sparrow","Northern Cardinal"
"Downy Woodpecker","House Finch"
"Northern Cardinal","House Finch"
"House Sparrow","Tufted Titmouse"
"White-throated Sparrow","Northern Cardinal"
"White-crowned Sparrow","White-throated Sparrow"
"White-breasted Nuthatch","Carolina Wren"
"Golden-fronted Woodpecker","Black-crested Titmouse"
"Dark-eyed Junco","American Goldfinch"
"House Sparrow","House Finch"
"House Sparrow","White-breasted Nuthatch"
"European Starling","House Finch"
"Tufted Titmouse","House Finch"
"House Sparrow","Tufted Titmouse"
"House Sparrow","House Finch"
"Tufted Titmouse","House Finch"
"Tufted Titmouse","Carolina Chickadee"
"Red-bellied Woodpecker","White-breasted Nuthatch"
"Red-bellied Woodpecker","Northern Cardinal"
"Blue Jay","Mourning Dove"
"Downy Woodpecker","Tufted Titmouse"
"European Starling","House Sparrow"
"Blue Jay","House Sparrow"
"Blue Jay","Hairy Woodpecker"
"Northern Cardinal","House Finch"
"House Finch","White-breasted Nuthatch"
"House Sparrow","House Finch"
"House Sparrow","Northern Cardinal"
"Red-bellied Woodpecker","Downy Woodpecker"
"Tufted Titmouse","House Finch"
"Red-bellied Woodpecker","House Finch"
"Tufted Titmouse","Carolina Chickadee"
"Blue Jay","European Starling"
"Northern Cardinal","House Sparrow"
"Blue Jay","Tufted Titmouse"
"Blue Jay","Northern Cardinal"
"Blue Jay","White-breasted Nuthatch"
"Tufted Titmouse","American Goldfinch"
"Northern Cardinal","Tufted Titmouse"
"House Finch","American Goldfinch"
"Blue Jay","Tufted Titmouse"
"Tufted Titmouse","Carolina Chickadee"
"Red-bellied Woodpecker","White-breasted Nuthatch"
"Tufted Titmouse","House Finch"
"White-throated Sparrow","Fox Sparrow"
"Tufted Titmouse","Pine Warbler"
"Tufted Titmouse","Carolina Chickadee"
"Carolina Wren","House Finch"
"Carolina Wren","Tufted Titmouse"
"Brown-headed Nuthatch","Tufted Titmouse"
"Blue Jay","American Goldfinch"
"Brown Thrasher","White-throated Sparrow"
"Brown Thrasher","Eastern Towhee"
"Tufted Titmouse","Carolina Chickadee"
"House Finch","Pine Warbler"
"Red-bellied Woodpecker","Tufted Titmouse"
"Pine Warbler","House Finch"
"Tufted Titmouse","Carolina Chickadee"
"Tufted Titmouse","Carolina Chickadee"
"White-breasted Nuthatch","Carolina Chickadee"
"Tufted Titmouse","American Goldfinch"
"Hermit Thrush","White-throated Sparrow"
"White-throated Sparrow","Hermit Thrush"
"Northern Cardinal","Hermit Thrush"
"White-breasted Nuthatch","Tufted Titmouse"
"Brown-headed Nuthatch","American Goldfinch"
"House Sparrow","House Finch"
"Carolina Wren","Tufted Titmouse"
"House Sparrow","Dark-eyed Junco"
"Blue Jay","Northern Cardinal"
"Blue Jay","American Goldfinch"
"Blue Jay","American Tree Sparrow"
"Blue Jay","Downy Woodpecker"
"Purple Finch","Tufted Titmouse"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Yellow-rumped Warbler","Pygmy Nuthatch"
"Hairy Woodpecker","Downy Woodpecker"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Hairy Woodpecker","Downy Woodpecker"
"Northern Cardinal","White-breasted Nuthatch"
"White-breasted Nuthatch","American Goldfinch"
"Black-capped Chickadee","Red-breasted Nuthatch"
"Northern Cardinal","House Sparrow"
"Blue Jay","House Sparrow"
"Blue Jay","American Goldfinch"
"Red-bellied Woodpecker","Tufted Titmouse"
"White-breasted Nuthatch","American Goldfinch"
"Blue Jay","Black-capped Chickadee"
"Downy Woodpecker","White-breasted Nuthatch"
"House Finch","American Goldfinch"
"Northern Cardinal","American Goldfinch"
"White-breasted Nuthatch","American Goldfinch"
"Blue Jay","House Sparrow"
"American Goldfinch","House Finch"
"White-breasted Nuthatch","Red-breasted Nuthatch"
"Common Grackle","Blue Jay"
"House Finch","Northern Cardinal"
"House Finch","Song Sparrow"
"Golden-crowned Sparrow","Spotted Towhee"
"Spotted Towhee","Song Sparrow"
"Spotted Towhee","Song Sparrow"
"Spotted Towhee","Song Sparrow"
"White-breasted Nuthatch","Black-capped Chickadee"
"House Finch","Lesser Goldfinch"
"Golden-crowned Sparrow","White-crowned Sparrow"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Dark-eyed Junco","House Sparrow"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Golden-crowned Sparrow","Dark-eyed Junco"
"Red-breasted Nuthatch","Black-capped Chickadee"
"Black-capped Chickadee","Bushtit"
"Song Sparrow","Bushtit"
"Song Sparrow","Bushtit"
"Song Sparrow","Black-capped Chickadee"
"Song Sparrow","House Sparrow"
"Song Sparrow","Dark-eyed Junco"
"Song Sparrow","Dark-eyed Junco"
"Red-bellied Woodpecker","European Starling"
"European Starling","Field Sparrow"
"Blue Jay","Northern Cardinal"
"Northern Cardinal","House Finch"
"Red-bellied Woodpecker","House Sparrow"
"House Finch","American Goldfinch"
"Hairy Woodpecker","Brown-headed Cowbird"
"House Finch","House Sparrow"
"House Finch","House Sparrow"
"House Finch","American Goldfinch"
"House Finch","American Goldfinch"
"House Sparrow","American Goldfinch"
"Blue Jay","Black-capped Chickadee"
"Spotted Towhee","Dark-eyed Junco"
"Red-breasted Nuthatch","Chestnut-backed Chickadee"
"Spotted Towhee","Chestnut-backed Chickadee"
"Fox Sparrow","Dark-eyed Junco"
"Blue Jay","Northern Cardinal"
"Northern Flicker","Red-breasted Nuthatch"
"Northern Flicker","Downy Woodpecker"
"Blue Jay","Downy Woodpecker"
"Tufted Titmouse","Black-capped Chickadee"
"Red-bellied Woodpecker","Black-capped Chickadee"
"Red-bellied Woodpecker","Black-capped Chickadee"
"Red-bellied Woodpecker","House Sparrow"
